n,p,p_fail_true,p_fail_boast_min_mean,p_fail_boast_min_stdev,p_fail_observed,boast_iterations
10,0.01,0.0252,0.00542846253416219,0.000005627407587007147,0.022222222222222233,36
31,0.01,0.0816,0.011961088350495237,0.00002742048169935207,0.05,16
100,0.01,0.21750000000000003,0.00706500810093615,0.00008231677248341654,0.022222222222222233,9
316,0.01,0.49739999999999995,0.09958928540721416,0.0008243641596787424,0.3142857142857142,7
1000,0.01,0.6736,0.12055445166825485,0.003205356593397458,0.3666666666666667,6
3162,0.01,0.7724,0.556562242811361,0.0045755375591599815,0.9666666666666668,6
10000,0.01,0.8614999999999999,0.556562242811361,0.0045755375591599815,0.9666666666666666,6
