n,p_fail_simulated,p_fail_predicted
1,0.0029000000000000137,0.0026864794860426144
3,0.008900000000000019,0.007958316545934041
10,0.024399999999999977,0.025410919657817388
31,0.07769999999999999,0.0699235364232591
100,0.22519999999999996,0.16453660669344009
316,0.4737,0.2807499694556337
1000,0.6744,0.3608739334311414
3162,0.7759,0.39637509881276944
10000,0.8658,0.4090610190899312
31622,0.9252,0.41323756917180776
100000,0.9554,0.4145756237594157
