n,p,p_fail_true,p_fail_boast_min_mean,p_fail_boast_min_stdev,p_fail_observed,boast_iterations
10,0.0027,0.0252,0.012576413125372967,0.000023346138599059357,0.03155031240783892,113
31,0.0027,0.0816,0.009260152985302425,0.000019191277562551403,0.03333333333333337,42
100,0.0027,0.21750000000000003,0.003874688066768454,0.00002438644934651776,0.011764705882352944,17
316,0.0027,0.49739999999999995,0.18554265887458454,0.0058527260970361065,0.42000000000000004,10
1000,0.0027,0.6736,0.11394515667717497,0.001236546239518114,0.3428571428571428,7
3162,0.0027,0.7724,0.556562242811361,0.0045755375591599815,0.9666666666666668,6
10000,0.0027,0.8614999999999999,0.556562242811361,0.0045755375591599815,0.9666666666666666,6
