p_s,mean_bias,stdev_bias
1,-0.0032755016531631725,0.17395097120291492
3.1622776601683795,-0.0012985386232142076,0.17175137310776634
10,-0.00040560557864907117,0.16930500942193172
31.622776601683793,0.0014497751280087372,0.17029129252190445
100,-0.0008097562814992248,0.1732682977043215
316.22776601683796,0.0043706353422301,0.16378095667114864
1000,-0.0011950253790571738,0.16382078834848138
3162.2776601683795,0.0005536090879584556,0.14621298142808933
10000,0.0005175181293479915,0.13913276951990988
31622.776601683792,-0.001376926702846083,0.12234539237055815
100000,0.00008956642476321573,0.10473135792119355
316227.7660168379,-0.000027958648509397732,0.08875154643764406
1000000,-0.0001923388909199922,0.07406229280180007
3162277.6601683795,-0.00018391590325378304,0.06455673892357164
10000000,0.0006281564947229697,0.0591956245825794
31622776.60168379,0.0003234079091787908,0.05770777115977927
100000000,0.00040236512881461106,0.05703579065333158
316227766.01683795,0.00008823830893479183,0.05657077872203843
1000000000,0.0009418300524838341,0.05675948269828212
3162277660.1683793,-0.0006347887970550429,0.056140132497931004
10000000000,0.0006945434587636838,0.056688930414613425
31622776601.683792,0.00040796207112572585,0.05537749924039116
100000000000,0.0005966503626960175,0.05653851656726005
316227766016.83795,-0.00011560484101920248,0.05625343402287542
1000000000000,-0.000372233219265593,0.056152858877576005
