n,p,p_fail_true,p_fail_boast_min_mean,p_fail_boast_min_stdev,p_fail_observed,boast_iterations
10,0.0001,0.0252,0.017927976167104537,0.00003128753685058054,0.028586420644925403,407
31,0.0001,0.0816,0.05864214356339929,0.000009770987534297388,0.07997051338811648,360
100,0.0001,0.21750000000000003,0.16782605139905427,0.00001946454451630537,0.21327835675154816,236
316,0.0001,0.49739999999999995,0.42356772473188276,0.00020882540669839032,0.5212758512964698,97
1000,0.0001,0.6736,0.5543297221674779,0.0036570635558099253,0.7166666666666666,36
3162,0.0001,0.7724,0.5416758200502475,0.004375980593235391,0.7875,16
10000,0.0001,0.8614999999999999,0.5822876848136922,0.002981990380084076,0.9111111111111111,9
