p_fail,meanmean_p,meanstdev_p,stdevmean_p,stdevstdev_p,meanmean_d,meanstdev_d,stdevmean_d,stdevstdev_d,raw_decision_bias_stdevstdev
0.05,-0.0006488100037726138,0.002041290372172081,0.16996346516138236,0.0014681981708621274,0.00023927420630117204,0.014510631746177385,0.05306110441063037,0.011400371988407966,0.0014855475849069706
0.06,0.00017244793985135372,0.0020225296459921416,0.16892930503990655,0.002500595980864,0.0005603588461837425,0.014789178556981211,0.05204982174397339,0.011506281857843378,0.0025349476419415217
0.07,-0.0001645962908708844,0.0013755593140929885,0.17068118822810546,0.0013466971018209388,0.00036657098131544474,0.014583350324446734,0.05315135961902429,0.010849801184651427,0.0021306490716330954
0.08,0.00015493247727830123,0.002131445946283607,0.1696106482116714,0.0017468347598885298,0.0006280135847622031,0.015138793751131929,0.05280919115320257,0.01287200461070464,0.0018993901431824801
0.09,0.0007840253506243168,0.001944207143855776,0.1696021556198749,0.001960562436711047,0.0004009691992515727,0.014658071335387698,0.05282519973827176,0.012070190635227405,0.0017994605486004018
0.1,-0.000414732210921063,0.001953693215832157,0.1694718057508537,0.0022447328067419325,0.0003114616901181201,0.014561277182679164,0.05182970074507898,0.012238833004692345,0.0015745925840732718
0.11,-0.000634489275181775,0.0015537421321290329,0.16872257913534647,0.002930227588122268,0.0003206827468429557,0.013838196169345748,0.05235718426469885,0.010901953022264071,0.0017732197134576024
0.12,0.00028952379021058585,0.0011236916478901523,0.1697947482848299,0.0014401617110470198,0.0005721947844443712,0.014574514495947544,0.05283695030416225,0.012028784027115345,0.002004396322836667
0.13,-0.00004587980236709333,0.0020163646986434613,0.16972874078129924,0.0019595910463922417,0.00017415653060905777,0.014504031066929643,0.05294860862067119,0.012218537392321841,0.0022009040799560622
0.14,0.00030432572752890977,0.0007639536760245374,0.1700520216011258,0.001122449878538859,0.00045108723197864303,0.014567100923378545,0.05244289278099057,0.01139747485372353,0.002303561033633498
0.15,0.0006654993454636477,0.001914606941294406,0.1704078512838508,0.0014272333733452794,0.0007583727091041033,0.015025959252107755,0.05312831192582905,0.011347783395571773,0.0019442853937517179
0.16,0.00007098346136562472,0.0013750231744536648,0.16907282486167274,0.0014867065838337977,0.0004234062093632703,0.014401413143499055,0.052650301290723345,0.012082116325635592,0.0020508848361383896
0.17,0.0001703028191777419,0.0008370117963617476,0.16935577067288612,0.0020754387384932177,0.0006669956511980466,0.014467629767645972,0.05286224795118679,0.011591378426006542,0.0018639000922179413
0.18,0.0005884524804314523,0.002564456133233833,0.16896182181668915,0.0018973041380959915,0.0006301863587181881,0.014804502527376563,0.05219717211875232,0.011812837355961421,0.0017355108949348376
0.19,-0.00011244687846574093,0.0012165420385633785,0.16901436011778037,0.0014601002818637075,0.0003213903763109524,0.014542753622399835,0.05274860201704563,0.011176293659808208,0.0017734056770241761
0.2,-0.00095274906976934,0.0013010353375737293,0.1695960534800756,0.001488944968169086,0.00006434921472107442,0.014242439456627584,0.05270093758846416,0.010989967882643815,0.0021681040899770025
0.21,0.0006253107193265563,0.001492462758371632,0.16970866065327364,0.0010326075376830713,0.0006422950692847703,0.014639091938524387,0.05300461614866848,0.01170681578385903,0.0026655110041195994
0.22,-0.000010522531824009178,0.001873510256230346,0.16943189774035014,0.0017437806759403524,0.0007691736629754308,0.01488253449098411,0.05271221574175153,0.0120169359406873,0.0017008933555771487
0.23,-0.00015077738306660922,0.001944687127468404,0.16957398926881684,0.0018708400662243484,0.0003502185456000128,0.014120164811816384,0.05285726996169797,0.01126650703206967,0.001736784817225494
0.24,-0.000985068905032239,0.0012025966478386384,0.16933319498807012,0.0028194545318234584,0.0006920267052212352,0.014404416257984162,0.052032682306254595,0.010861637247480203,0.00232163359877745
0.25,-0.00011866949495189047,0.001781167115219716,0.17066487415779077,0.002665676230509619,0.0004999172354602977,0.014416300433438691,0.053235172113077,0.011051419096472918,0.0017763490019010526
0.26,-0.00039457178773339254,0.0015453073370981353,0.17036594358592191,0.0016146915548507208,0.0002340414415065578,0.014837966392927738,0.053142765150494535,0.011576486484071455,0.001797984051674898
0.27,0.00017186958029125873,0.0015822201241758303,0.16891507365739966,0.0018956071879596993,0.0006108214659213199,0.014366303618391826,0.05218755579596437,0.011934088574137856,0.0012911633764062487
0.28,-0.0007543971089328353,0.0018867727505179075,0.17027563104645674,0.0015671533458093165,0.000498238090005819,0.01458537750127889,0.05274139764417421,0.012017077582608471,0.0022139652094985323
0.29,0.0005529204923926014,0.0013548708245081716,0.16892535997749666,0.002802544523729675,0.00022605243218217508,0.014145013669946584,0.05296835937552287,0.010858858278540193,0.0021646998530233446
0.3,-0.0013655838942987653,0.0015475404840114327,0.17027862251049128,0.0010520534288413679,0.00016707232425940954,0.014158215273656655,0.05232435154747975,0.010575088351498873,0.0017251102403021156
0.31,0.00018409680608597005,0.0015508472853684027,0.16634583535383263,0.008425355888583974,0.0009598807507394309,0.0122445511247162,0.04877224588019273,0.010573886433270873,0.001906686354635865
0.32,0.0006919025598835066,0.0017864835823156882,0.17027455797291066,0.0020993358711983126,0.0005976335532268364,0.014845889236988957,0.05349391735599665,0.010652857214765714,0.002781177679761699
0.33,0.0004395947479712769,0.0010876757084304222,0.1697265665173544,0.0015011467283114505,0.00026397742930351557,0.014868982327299936,0.05406407470228218,0.011084311786358117,0.002776761146833893
0.34,0.0009314875449512496,0.0014752737188209971,0.1698483062122417,0.001223975072735629,0.00043456160000965744,0.014614661618747232,0.05326640235070524,0.010974240606915835,0.0020450487378048917
0.35,0.0006805825993941584,0.001171134821623028,0.170907114199848,0.0015806005738845314,0.00042801839265000377,0.014673475968114818,0.05338124813184941,0.011410513582104653,0.0014148032589226575
0.36,0.0005587943830307678,0.0012440238658279904,0.16929042491884283,0.0017574111861067374,0.00032994058823702677,0.014623324884889231,0.05274851157747452,0.011037706648200831,0.0025034542454499976
0.37,0.0008829428524631378,0.0014477387560232619,0.16925922090833725,0.002387528264408765,0.0005395366922637629,0.014271354282372542,0.05245929492813637,0.011613897965092986,0.0018664826534701404
0.38,-0.0005609968743041221,0.0013778137510175059,0.17037206285873915,0.0016937424070649315,0.0002751846474137757,0.01470670994881146,0.05276930213445134,0.012184816609560348,0.0017672371179184199
0.39,-0.000050165731903689177,0.0009416426917155962,0.16985440802990165,0.001405515657715841,0.00045714684388471446,0.014884955107141436,0.05328839072782013,0.011749130537419992,0.002090332893949631
0.4,-0.00047201179059209384,0.0017252054469493773,0.16908198311805236,0.001791911959371039,0.0003966216181081629,0.014342688627722517,0.05232785688732628,0.011429972695769515,0.00191696667768772
0.41,0.000036058694546799454,0.0016181297780686493,0.1685430009895552,0.002547975422577424,0.00007447811477628536,0.013615101191473402,0.05286141992914905,0.010011119628345996,0.0015653548752191963
0.42,0.00039945336921853316,0.0018013753745268917,0.16971469375017173,0.0011569394484447916,0.00026624046997741647,0.014556288416415932,0.05306756740383374,0.010937852602540314,0.0020991777140080938
0.43,0.00024350117053943755,0.0015913801886411477,0.16896698704477633,0.00232148896265992,0.00044970048081418754,0.014969479072598086,0.05256838799010152,0.012178208891212173,0.0019508572110648287
0.44,0.000452107578981388,0.00200884244418396,0.16957601964430216,0.001585944529885528,0.0005249173352199955,0.014157991182905845,0.0527652455265368,0.010337280929061372,0.0018030901230827385
0.45,0.0000899994934419206,0.0010160548000597298,0.169326547338615,0.0012636723292274894,0.0005606232041106847,0.014173199768696815,0.05141224909131214,0.011064627048526142,0.0027150686817607557
0.46,-0.00013512629609152015,0.0015298878041593571,0.17034670657353287,0.0012758401393958775,0.000504215323389105,0.015100014169383776,0.05381329004448616,0.011669272186343768,0.003318305886875175
0.47,-0.0003165524675938249,0.0020749315231613653,0.17069540223084703,0.0011744900496949168,0.0005303845857248265,0.014474073006188477,0.05272389910601904,0.011568085424004592,0.0017348935769091367
0.48,0.00003864800281498214,0.0011628554078464987,0.1700390289115414,0.0010120050522541334,0.0004168904245085816,0.01456590891767797,0.053033766311251535,0.011379015898376638,0.00165893224562037
0.49,-0.0009615740102702359,0.0014790654944389539,0.1700336539165748,0.0017291441657345855,0.00036794797472300287,0.014528490249746099,0.05276972793660673,0.011193357576966443,0.002995982013690715
0.5,0.00039603813625564547,0.0015050836564137857,0.16864147341792785,0.004372684335642373,0.0001382295441104661,0.014506651871346416,0.05246521842219345,0.011703599539811219,0.0025156147309879193
